Orpha	Orpha|Syndrome|Prevalence|Inheritance|Age of onset|OMIM
320	320|Apparent mineralocorticoid excess|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|218030
3200	3200|Arthrogryposis-ectodermal dysplasia-other anomalies syndrome|<1 / 1 000 000|Unknown|Infancy<br>Neonatal|
3201	3201|Ventricular extrasystoles with syncopal episodes-perodactyly-Robin sequence syndrome|<1 / 1 000 000|Unknown|Infancy<br>Neonatal|192445
3202	3202|Dehydrated hereditary stomatocytosis|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|194380 616689
3203	3203|Overhydrated hereditary stomatocytosis|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|185000
320317	320317|Cleft lip/palate-ectodermal dysplasia syndrome|-|-|-|
320332	320332|X-linked pure spastic paraplegia|-|-|-|
320335	320335|Pure or complex hereditary spastic paraplegia|-|-|-|
320342	320342|Pure or complex autosomal dominant spastic paraplegia|-|-|-|
320346	320346|Pure or complex autosomal recessive spastic paraplegia|-|-|-|
320350	320350|Pure or complex X-linked spastic paraplegia|-|-|-|
320355	320355|Autosomal dominant spastic paraplegia type 41|<1 / 1 000 000|-|Childhood|613364
320360	320360|Maternally-inherited spastic paraplegia|<1 / 1 000 000|-|Adult|
320365	320365|Autosomal dominant spastic paraplegia type 36|<1 / 1 000 000|-|Adolescent<br>Adult|613096
320370	320370|Autosomal recessive spastic paraplegia type 43|<1 / 1 000 000|-|Childhood<br>Adolescent|615043
320375	320375|Autosomal recessive spastic paraplegia type 55|<1 / 1 000 000|Autosomal recessive|Childhood|615035
320380	320380|Autosomal recessive spastic paraplegia type 54|<1 / 1 000 000|Autosomal recessive|Infancy|615033
320385	320385|Autosomal recessive spastic paraplegia type 49|<1 / 1 000 000|-|Infancy|615031
320391	320391|Autosomal recessive spastic paraplegia type 46|<1 / 1 000 000|Autosomal recessive|Infancy<br>Childhood|614409
320396	320396|Autosomal recessive spastic paraplegia type 45|<1 / 1 000 000|-|Neonatal<br>Infancy|613162
3204	3204|Stormorken-Sjaastad-Langslet syndrome|<1 / 1 000 000|Autosomal dominant|All ages|185070
320401	320401|Autosomal recessive spastic paraplegia type 44|<1 / 1 000 000|Autosomal recessive|Adolescent<br>Adult|613206
320406	320406|Spastic paraplegia-optic atrophy-neuropathy syndrome|<1 / 1 000 000|Autosomal recessive|Infancy|609541
320411	320411|Autosomal recessive spastic paraplegia type 56|<1 / 1 000 000|-|Neonatal<br>Infancy<br>Childhood|615030
3205	3205|Sturge-Weber syndrome|1-9 / 100 000|Not applicable|Infancy<br>Neonatal<br>Childhood<br>Adolescent|185300
3206	3206|StÃ¼ve-Wiedemann syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|601559
3207	3207|White matter hypoplasia-corpus callosum agenesis-intellectual disability syndrome|-|-|-|
3208	3208|Isolated succinate-CoQ reductase deficiency|<1 / 1 000 000|Autosomal recessive|-|252011
321	321|Multiple osteochondromas|1-9 / 100 000|Autosomal dominant|Childhood|133700 133701 600209
3210	3210|Summitt syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|272350
3214	3214|Deaf blind hypopigmentation syndrome, Yemenite type|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|601706
3216	3216|Conductive deafness-malformed external ear syndrome|-|Unknown|-|221300
3217	3217|Deafness-small bowel diverticulosis-neuropathy syndrome|-|-|-|221400
3218	3218|Deafness-epiphyseal dysplasia-short stature syndrome|-|-|-|601351
3219	3219|Fountain syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|229120
322	322|Exstrophy-epispadias complex|Unknown|Multigenic/multifactorial|Neonatal<br>Antenatal|258040 600057
3220	3220|Deafness-enamel hypoplasia-nail defects syndrome|<1 / 1 000 000|Autosomal recessive|Childhood|234580 616617
3221	3221|Generalized resistance to thyroid hormone|-|-|-|188570 274300
322126	322126|Genetic tumor of hematopoietic and lymphoid tissues|-|-|-|
3222	3222|Phosphoribosylpyrophosphate synthetase superactivity|<1 / 1 000 000|X-linked recessive|Adolescent<br>Adult<br>Infancy<br>Childhood|300661
3224	3224|Deafness-genital anomalies-metacarpal and metatarsal synostosis syndrome|<1 / 1 000 000|-|Infancy<br>Neonatal|
3225	3225|Hearing loss-familial salivary gland insensitivity to aldosterone syndrome|-|-|-|
3226	3226|Deafness-lymphedema-leukemia syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|614038
3230	3230|Deafness-oligodontia syndrome|-|-|-|221740
3231	3231|Deafness-onychodystrophy syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Childhood|124480 220500
3232	3232|Deafness-ear malformation-facial palsy syndrome|-|-|-|124490
3233	3233|Cochleosaccular degeneration-cataract syndrome|-|-|-|120040
3235	3235|Progressive deafness with stapes fixation|Unknown|Autosomal recessive|Childhood|601449
3236	3236|Conductive deafness-ptosis-skeletal anomalies syndrome|-|-|-|221320
3237	3237|Multiple synostoses syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|186500 610017 612961
3238	3238|Cardiospondylocarpofacial syndrome|<1 / 1 000 000|Autosomal dominant|All ages|157800
3239	3239|Deafness-vitiligo-achalasia syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|221350
324	324|Fabry disease|1-5 / 10 000|X-linked recessive|Childhood|301500
3240	3240|Central nervous system calcification-deafness-tubular acidosis-anemia syndrome|<1 / 1 000 000|Unknown|No data available|
3241	3241|Deafness-craniofacial syndrome|-|-|-|125230
3242	3242|Renpenning syndrome|<1 / 1 000 000|X-linked recessive|Infancy<br>Neonatal|309500
324262	324262|Autosomal recessive congenital cerebellar ataxia due to MGLUR1 deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|614831
324290	324290|Early-onset Lafora body disease|<1 / 1 000 000|Autosomal recessive|Childhood|616640
324294	324294|T-cell immunodeficiency with epidermodysplasia verruciformis|<1 / 1 000 000|Autosomal recessive|Childhood|
324299	324299|Multiple paragangliomas associated with polycythemia|<1 / 1 000 000|Not applicable|Childhood|
3243	3243|Sweet syndrome|<1 / 1 000 000|Unknown|Adult|608068
324307	324307|Severe lateral tibial bowing with short stature|<1 / 1 000 000|Unknown|Childhood|
324313	324313|9p13 microdeletion syndrome|<1 / 1 000 000|Not applicable<br>or&nbsp;Unknown|Infancy<br>Neonatal|
324321	324321|Sinoatrial node dysfunction and deafness|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|614896
324353	324353|Congenital achiasma|Unknown|-|Infancy<br>Neonatal|
324364	324364|Mixed sclerosing bone dystrophy with extra-skeletal manifestations|-|-|-|
324381	324381|Hereditary inclusion body myopathy type 4|<1 / 1 000 000|Autosomal dominant|Adult|
324410	324410|X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome|<1 / 1 000 000|X-linked recessive|Infancy<br>Neonatal|300886
324416	324416|Muscular hypertrophy-hepatomegaly-polyhydramnios syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|
324422	324422|ALG13-CDG|<1 / 1 000 000|X-linked recessive|Infancy<br>Neonatal|300884
324442	324442|Autosomal recessive axonal neuropathy with neuromyotonia|<1 / 1 000 000|Autosomal recessive|Childhood|137200
324525	324525|Hypertrophic cardiomyopathy and renal tubular disease due to mitochondrial DNA mutation|<1 / 1 000 000|-|Infancy<br>Neonatal|
324530	324530|Autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|614878
324535	324535|Combined oxidative phosphorylation defect type 11|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|614922
324540	324540|Aphonia-deafness-retinal dystrophy-bifid halluces-intellectual disability syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|
324561	324561|Hypopigmentation-punctate palmoplantar keratoderma syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|615522
324569	324569|Pontocerebellar hypoplasia type 8|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|614961
324575	324575|Hyperinsulinism due to HNF1A deficiency|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|
324581	324581|Benign Samaritan congenital myopathy|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|
324585	324585|Autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain|<1 / 1 000 000|Autosomal dominant|All ages|
324588	324588|Familial dyskinesia and facial myokymia|<1 / 1 000 000|Autosomal dominant|Childhood|606703
3246	3246|Symphalangism with multiple anomalies of hands and feet|<1 / 1 000 000|-|Infancy<br>Neonatal|185750
324601	324601|X-linked cleft palate and ankyloglossia|Unknown|X-linked recessive<br>or&nbsp;X-linked dominant|Infancy<br>Neonatal|303400
324604	324604|Classic multiminicore myopathy|-|-|-|602771
324611	324611|Autosomal dominant Charcot-Marie-Tooth disease type 2 due to KIF5A mutation|Unknown|Autosomal dominant|-|
324625	324625|Chikungunya|Unknown|-|All ages|
324632	324632|Hendra virus infection|<1 / 1 000 000|-|All ages|
324636	324636|Autoerythrocyte sensitization syndrome|Unknown|-|Adult|
324648	324648|Invasive non-typhoidal salmonellosis|Unknown|-|All ages|
324703	324703|ABetaL34V amyloidosis|<1 / 1 000 000|Autosomal dominant|Adult<br>Elderly|605714
324708	324708|ABeta amyloidosis, Iowa type|<1 / 1 000 000|Autosomal dominant|Elderly|605714
324713	324713|ABeta amyloidosis, Italian type|<1 / 1 000 000|Autosomal dominant|Adult<br>Elderly|605714
324718	324718|ABetaA21G amyloidosis|<1 / 1 000 000|Autosomal dominant|Adult|605714
324723	324723|ABeta amyloidosis, Arctic type|<1 / 1 000 000|Autosomal dominant|Adult<br>Elderly|605714
324737	324737|SRD5A3-CDG|<1 / 1 000 000|-|Neonatal<br>Infancy|612379
324761	324761|Microcephalic primordial dwarfism|-|-|-|
324764	324764|Trichorhinophalangeal syndrome|-|-|-|
324767	324767|Non-familial rare disease with dilated cardiomyopathy|-|-|-|
3248	3248|Distal symphalangism|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|185700
324924	324924|Hereditary periodic fever syndrome|-|-|-|
324927	324927|Pyogenic autoinflammatory syndrome|-|-|-|
324930	324930|Granulomatous autoinflammatory syndrome|-|-|-|
324933	324933|Mixed autoinflammatory and autoimmune syndrome|-|-|-|
324936	324936|Unclassified autoinflammatory syndrome|-|-|-|
324939	324939|Periodic fever syndrome of childhood|-|-|-|
324942	324942|Pyogenic autoinflammatory syndrome of childhood|-|-|-|
324950	324950|Granulomatous autoinflammatory syndrome of childhood|-|-|-|
324953	324953|Unclassified autoinflammatory syndrome of childhood|-|-|-|
324960	324960|Unexplained periodic fever syndrome of childhood|-|-|-|
324964	324964|Chronic nonbacterial osteomyelitis/Chronic recurrent multifocal osteomyelitis|1-9 / 1 000 000|Not applicable|Childhood<br>Adolescent|259680
324972	324972|MAGIC syndrome|-|-|-|
324977	324977|Proteasome disability syndrome|<1 / 1 000 000|Autosomal recessive|Childhood<br>Infancy<br>Neonatal|256040
324999	324999|JMP syndrome|<1 / 1 000 000|Autosomal recessive|Childhood|256040
325	325|Congenital factor II deficiency|<1 / 1 000 000|Autosomal recessive|All ages|613679
3250	3250|Proximal symphalangism|Unknown|Autosomal dominant|Infancy<br>Neonatal|185800 615298
325004	325004|CANDLE syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|256040
325109	325109|Syndrome with 46,XX disorder of sex development|-|-|-|
325124	325124|Testicular agenesis|-|-|-|
3253	3253|Zlotogora-Ogur syndrome|Unknown|Autosomal recessive|Infancy<br>Neonatal|225060
325448	325448|Leydig cell hypoplasia due to LHB deficiency|-|-|-|228300
3255	3255|Filippi syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|272440
325524	325524|Classic congenital lipoid adrenal hyperplasia due to STAR deficency|-|-|-|
325529	325529|Non-classic congenital lipoid adrenal hyperplasia due to STAR deficency|-|-|-|
325546	325546|Sex chromosome disorder of sex development|-|-|-|
325620	325620|Disorder of sex development of gynecological interest|-|-|-|
325638	325638|Syndrome with disorder of sex development of gynecological interest|-|-|-|
325665	325665|Genetic disorder of sex development of gynecological interest|-|-|-|
325690	325690|Genetic disorder of sex development|-|-|-|
325697	325697|Genetic 46,XX disorder of sex development|-|-|-|
325706	325706|Genetic 46,XY disorder of sex development|-|-|-|
325713	325713|Genetic 46,XY disorder of sex development of endocrine origin|-|-|-|
3258	3258|Cenani-Lenz syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|212780
3259	3259|Syndactyly-polydactyly-ear lobe syndrome|-|-|-|186350
326	326|Congenital factor V deficiency|1-9 / 1 000 000|Autosomal recessive|All ages|227400
3260	3260|Idiopathic hypereosinophilic syndrome|Unknown|-|Adult|607685
3261	3261|Autoimmune lymphoproliferative syndrome|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|All ages|601859 603909 615559
3262	3262|Dobrow syndrome|<1 / 1 000 000|-|-|
3263	3263|Syngnathia-cleft palate syndrome|-|-|-|
3265	3265|Humero-radial synostosis|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|All ages|143050 236400
3266	3266|Humero-radio-ulnar synostosis|<1 / 1 000 000|Unknown|All ages|
3267	3267|Familial lambdoid synostosis|-|-|-|600775
3268	3268|Radioulnar synostosis-microcephaly-scoliosis syndrome|<1 / 1 000 000|Unknown|Antenatal<br>Neonatal|603438
3269	3269|Congenital radioulnar synostosis|Unknown|Unknown|Infancy<br>Childhood|179300
327	327|Congenital factor VII deficiency|1-9 / 1 000 000|Autosomal recessive|All ages|227500
3270	3270|Radioulnar synostosis-developmental delay-hypotonia syndrome|<1 / 1 000 000|Unknown|Neonatal|266255
3273	3273|Synovial sarcoma|Unknown|Not applicable|All ages|300813
3275	3275|Spondylocarpotarsal synostosis|<1 / 1 000 000|Autosomal recessive|Childhood|272460
3276	3276|Disorder of plasmalogens biosynthesis|-|-|-|
328	328|Congenital factor X deficiency|-|Autosomal recessive|All ages|227600
3280	3280|Syringomyelia|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;Not applicable|All ages|186700
3282	3282|Multifocal atrial tachycardia|-|Not applicable|Infancy<br>Neonatal|
3283	3283|His bundle tachycardia|Unknown|Unknown|Infancy<br>Neonatal|
3286	3286|Catecholaminergic polymorphic ventricular tachycardia|1-5 / 10 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Childhood|604772 611938 614021 614916 615441
3287	3287|Takayasu arteritis|1-9 / 100 000|Not applicable|Adult<br>Adolescent|207600
3289	3289|Taurodontism|-|-|-|272700
329	329|Congenital factor XI deficiency|1-9 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|All ages|612416
3291	3291|Teebi-Shaltout syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|272950
329173	329173|Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|615895
329178	329178|Congenital muscular dystrophy with intellectual disability and severe epilepsy|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|615042
329191	329191|Tall stature-scoliosis-macrodactyly of the great toes syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|615923
329195	329195|Developmental delay with autism spectrum disorder and gait instability|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|615516
3292	3292|Tel Hashomer camptodactyly syndrome|<1 / 1 000 000|Unknown|Infancy<br>Neonatal|211960
329211	329211|Autosomal dominant neovascular inflammatory vitreoretinopathy|<1 / 1 000 000|Autosomal dominant|All ages|193235
329217	329217|Cerebral sinovenous thrombosis|Unknown|-|All ages|
329224	329224|Intellectual disability-craniofacial dysmorphism-cryptorchidism syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|615009
329228	329228|Microcephalic primordial dwarfism due to ZNF335 deficiency|<1 / 1 000 000|Autosomal recessive|Antenatal<br>Neonatal|615095
329235	329235|X-linked central congenital hypothyroidism with late-onset testicular enlargement|<1 / 1 000 000|X-linked recessive|Infancy<br>Neonatal|300888
329242	329242|Congenital chronic diarrhea with protein-losing enteropathy|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|615863
329249	329249|Severe early-onset obesity-insulin resistance syndrome due to SH2B1 deficiency|<1 / 1 000 000|Autosomal dominant|Childhood|
329252	329252|Spondylocostal dysostosis-hypospadias-intellectual disability syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|
329255	329255|Blepharophimosis-intellectual disability syndrome due to UBE3B deficiency|<1 / 1 000 000|Unknown|Infancy<br>Neonatal|615057
329258	329258|Autosomal dominant Charcot-Marie-Tooth disease type 2Q|<1 / 1 000 000|Autosomal dominant|Adolescent<br>Adult|615025
329284	329284|Beta-propeller protein-associated neurodegeneration|<1 / 1 000 000|-|Childhood|300894
3293	3293|Telecanthus-hypertelorism-strabismus-pes cavus syndrome|-|-|-|
329303	329303|PLA2G6-associated neurodegeneration|-|-|-|
329308	329308|Fatty acid hydroxylase-associated neurodegeneration|<1 / 1 000 000|-|Childhood<br>Adolescent|
329314	329314|Adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency|Unknown|Autosomal recessive|Adult|617070
329319	329319|Thrombocythemia with distal limb defects|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|
329324	329324|Inverse Klippel-TrÃ©naunay syndrome|<1 / 1 000 000|Unknown|Infancy<br>Neonatal|
329329	329329|Autosomal recessive frontotemporal pachygyria|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|
329332	329332|Microcephaly-cerebellar hypoplasia-cardiac conduction defect syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|614407
329336	329336|Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy|Unknown|Autosomal dominant<br>or&nbsp;Mitochondrial inheritance|Adult|616479
329341	329341|Limbic encephalitis with DPP6 antibodies|<1 / 1 000 000|-|Adult|
3294	3294|Extensor tendons of finger anomalies|-|-|-|187390
329457	329457|Distal arthrogryposis type 5D|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|615065
329466	329466|Autosomal dominant focal dystonia, DYT25 type|<1 / 1 000 000|Autosomal dominant|Adult|615073
329469	329469|Acute megakaryoblastic leukemia without Down syndrome|Unknown|Not applicable|Childhood|
329475	329475|Spastic paraplegia-Paget disease of bone syndrome|<1 / 1 000 000|Autosomal dominant|Adult|
329478	329478|Adult-onset distal myopathy due to VCP mutation|<1 / 1 000 000|Autosomal dominant|Adult|
329481	329481|Lipoprotein glomerulopathy|Unknown|Autosomal dominant|All ages|611771
32960	32960|Tumor necrosis factor receptor 1 associated periodic syndrome|1-9 / 1 000 000|Autosomal dominant|Childhood<br>Infancy<br>Adolescent<br>Adult|142680
329802	329802|5p13 microduplication syndrome|<1 / 1 000 000|Not applicable<br>or&nbsp;Unknown|Infancy<br>Neonatal|613174
329813	329813|Mosaic genome-wide paternal uniparental disomy|-|-|-|
329874	329874|Idiopathic giant cell myocarditis|Unknown|-|Adolescent<br>Adult|
329883	329883|Non-hypoproteinemic hypertrophic gastropathy|<1 / 1 000 000|Autosomal dominant|-|
329888	329888|Juvenile idiopathic inflammatory myopathy|-|-|-|
329894	329894|Juvenile overlap myositis|-|-|-|
3299	3299|Tetanus|-|-|-|
329903	329903|Immunoglobulin-mediated membranoproliferative glomerulonephritis|-|-|-|615008
329918	329918|Non-immunoglobulin-mediated membranoproliferative glomerulonephritis|-|-|-|609814 614809
329931	329931|C3 glomerulonephritis|-|-|-|614809
329942	329942|Transient neonatal multiple acyl-CoA dehydrogenase deficiency|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|
329967	329967|Intermittent hydrarthrosis|-|-|-|
329971	329971|Generalized juvenile polyposis/juvenile polyposis coli|Unknown|Autosomal dominant|All ages|174900
329977	329977|Classic neuroendocrine tumor of appendix|Unknown|Not applicable|All ages|
329984	329984|Goblet cell carcinoma|Unknown|Not applicable|Adult|
329998	329998|Lymphomatous meningitis|-|-|-|
33	33|Isovaleric acidemia|1-9 / 100 000|Autosomal recessive|Infancy<br>Childhood|243500
330	330|Congenital factor XII deficiency|Unknown|Autosomal recessive|All ages|234000
330001	330001|Wild type ATTR amyloidosis|1-5 / 10 000|Not applicable|Adult|
330009	330009|Poliomyelitis in patients with immunodeficiencies deemed at risk|<1 / 1 000 000|-|-|
33001	33001|Lymphedema-distichiasis syndrome|Unknown|Autosomal dominant|All ages|153400
330012	330012|High altitude pulmonary edema|1-9 / 1 000 000|-|-|
330015	330015|Lead poisoning|1-9 / 100 000|Not applicable|Childhood|
330021	330021|Mercury poisoning|1-9 / 100 000|Not applicable|All ages|
330029	330029|Hypotrichosis-deafness syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|
330032	330032|Hemoglobin Lepore-beta-thalassemia syndrome|Unknown|Autosomal recessive|-|
330041	330041|Hemoglobin M disease|Unknown|Autosomal dominant|-|
330050	330050|Lethal encephalopathy due to mitochondrial and peroxisomal fission defect|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|614388
330054	330054|Congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|613076
330058	330058|Hydroa vacciniforme|1-9 / 1 000 000|Not applicable|Childhood|
330061	330061|Actinic prurigo|Unknown|Multigenic/multifactorial<br>or&nbsp;Not applicable|Childhood|174770
330064	330064|Chronic actinic dermatitis|1-5 / 10 000|Not applicable|Adult|
3301	3301|Tetraamelia-multiple malformations syndrome|Unknown|Autosomal recessive<br>or&nbsp;X-linked recessive|Infancy<br>Neonatal|273395
330197	330197|Genetic multiple congenital anomalies/dysmorphic syndrome-variable intellectual disability syndrome|-|-|-|
330206	330206|Genetic multiple congenital anomalies/dysmorphic syndrome without intellectual disability|-|-|-|
3303	3303|Tetralogy of Fallot|1-5 / 10 000|Autosomal dominant<br>or&nbsp;Multigenic/multifactorial|Neonatal<br>Antenatal|187500
3304	3304|Fallot complex-intellectual disability-growth delay syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|601127
3305	3305|Tetraploidy|-|-|-|
3306	3306|Duplication/inversion 15q11|-|Not applicable<br>or&nbsp;Unknown|Neonatal|
33067	33067|Metaphyseal chondrodysplasia, Jansen type|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|156400
33069	33069|Dravet syndrome|Unknown|Autosomal dominant|Infancy<br>Neonatal|607208 612164 615744
3307	3307|Tetrasomy 18p|1-9 / 1 000 000|-|Neonatal<br>Antenatal|614290
3309	3309|Tetrasomy 5p|-|-|-|
331	331|Congenital factor XIII deficiency|<1 / 1 000 000|Autosomal recessive<br>or&nbsp;Not applicable|All ages|613225 613235
3310	3310|Tetrasomy 9p|-|-|-|
33108	33108|Lethal multiple pterygium syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|253290
3311	3311|-|-|-|-|273490
33110	33110|Autosomal agammaglobulinemia|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|All ages|601495 612692 613500 613501 613502 613506 615214 616941
33111	33111|Granulomatous slack skin|<1 / 1 000 000|Not applicable|Adult|
331176	331176|Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency|<1 / 1 000 000|Autosomal recessive|-|612541
331184	331184|Constitutional neutropenia with extra-hematopoietic manifestations|-|-|-|
331187	331187|Immunodeficiency due to MASP-2 deficiency|-|-|-|613791
331190	331190|Immunodeficiency due to ficolin3 deficiency|-|-|-|613860
331193	331193|Other immunodeficiency syndromes due to defects in innate immunity|-|-|-|
3312	3312|Thalidomide embryopathy|1-9 / 1 000 000|Not applicable|Antenatal<br>Neonatal|
331206	331206|Severe combined immunodeficiency due to complete RAG1/2 deficiency|-|-|-|601457
331217	331217|Syndrome with combined immunodeficiency|-|-|-|
331220	331220|Immunodeficiency due to absence of thymus|-|-|-|
331223	331223|Hyper-IgE syndrome|-|-|-|
331226	331226|Susceptibility to infection due to TYK2 deficiency|-|Autosomal recessive|-|611521
331232	331232|Immunodeficiency with isotype or light chain deficiencies with normal number of B-cells|-|-|-|
331235	331235|Selective IgM deficiency|-|-|-|
331240	331240|Immunodeficiency with severe reduction in serum IgG and IgA with normal/elevated IgM and normal number of B-cells|-|-|-|
331244	331244|Other immunodeficiency syndrome with predominantly antibody defects|-|-|-|
331249	331249|Immunodeficiency syndrome with hypopigmentation|-|-|-|
3314	3314|Thiemann disease, familial form|-|-|-|165700
3315	3315|-|-|-|-|
3316	3316|Thomas syndrome|<1 / 1 000 000|Autosomal recessive|Antenatal<br>Neonatal|
3317	3317|Thoracolaryngopelvic dysplasia|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|187760 187770
3318	3318|Essential thrombocythemia|1-5 / 10 000|Multigenic/multifactorial<br>or&nbsp;Not applicable|All ages|187950 601977 614521
3319	3319|Congenital amegakaryocytic thrombocytopenia|Unknown|Autosomal recessive|Neonatal|604498
332	332|Congenital intrinsic factor deficiency|<1 / 1 000 000|Autosomal recessive<br>or&nbsp;Not applicable|Childhood|243320 261000
3320	3320|Thrombocytopenia-absent radius syndrome|Unknown|Autosomal recessive|Neonatal<br>Antenatal|274000
33208	33208|Idiopathic hypersomnia|1-5 / 10 000|Unknown|All ages|
3322	3322|Hoyeraal-Hreidarsson syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;X-linked recessive|Infancy<br>Neonatal|305000 613989 613990 615190 616353 616553
33226	33226|WaldenstrÃ¶m macroglobulinemia|1-9 / 100 000|Multigenic/multifactorial|Elderly|153600 610430
3323	3323|Thrombocytopenia-Robin sequence syndrome|<1 / 1 000 000|-|Infancy<br>Neonatal|
3324	3324|Familial thrombomodulin anomalies|-|-|-|
3325	3325|Heparin-induced thrombocytopenia|Unknown|Not applicable|All ages|
3326	3326|Thymic-renal-anal-lung dysplasia|<1 / 1 000 000|Autosomal recessive|Neonatal<br>Antenatal|274265
3327	3327|Thyrocerebrorenal syndrome|<1 / 1 000 000|Autosomal recessive|Childhood|274240
33276	33276|Kaposi sarcoma|1-9 / 100 000|Not applicable|Adult|148000
3328	3328|Absent tibia-polydactyly-arachnoid cyst syndrome|<1 / 1 000 000|Unknown|Infancy<br>Neonatal|601027
3329	3329|Tibial aplasia-ectrodactyly syndrome|1-9 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|119100 610685 612576
333	333|Farber disease|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal<br>Childhood<br>Antenatal|228000
3331	3331|Chitty-Hall-Webb syndrome|<1 / 1 000 000|Unknown|No data available|
33314	33314|Jessner lymphocytic infiltration of the skin|Unknown|Not applicable|Adult|
3332	3332|Hypoplastic tibiae-postaxial polydactyly syndrome|Unknown|Autosomal dominant|Infancy<br>Neonatal|188740
33355	33355|Reticular dysgenesis|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|267500
33364	33364|Trichothiodystrophy|Unknown|Autosomal recessive<br>or&nbsp;X-linked recessive|Infancy<br>Neonatal|234050 300953 601675 616390 616395 616943
3337	3337|Primary Fanconi syndrome|-|Autosomal dominant<br>or&nbsp;Autosomal recessive|-|134600 613388 615605
3338	3338|Toriello-Carey syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|217980
3339	3339|Toriello-Lacassie-Droste syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Infancy<br>Neonatal|600268
