Gene   Phenotype
612453 614399;
612465 616087;
612482 617108;
612498 617030;
612502 265050;
612515 241080;
612517 612518;
612570 121050;616118;
612625 277380;
612636 616801;
612638 252010;
612641 182900;
612647 612649;
612648 612650;
612655 248000;
612659 615710;
612661 613988;
612666 610805;
612676 261630;
612688 611943;
612719 261640;
612724 229600;
612732 121300;
612753 235510;
612757 615947;
612758 616897;
612761 136000;
612772 274900;
612773 111200;247420;
612778 616831;
612779 274270;
612792 151050;
612799 614924;
612800 616672;
612801 616007;
612802 615917;
612803 616239;
612804 613845;
612805 615918;
612837 614654;
612839 614286;
612848 252011;
612850 610031;
612866 616227;
612878 615028;
612898 616276;
612901 613112;
612907 616084;616959;
612911 252010;
612920 614861;
612931 261670;
612944 612951;
612958 220110;
612971 276901;605472;
612988 612989;
612990 605039;614286;
612994 615374;
613004 143100;
613009 613811;
613012 276880;
613018 276600;
613019 601650;
613022 203740;
613036 213200;
613037 213300;610156;
613072 613079;
613084 616521;
613109 272750;
613111 256540;
613113 162200;162210;193520;601321;607785;
613114 613115;
613121 613122;613876;
613129 612199;
613138 613310;
613146 614303;
613160 193400;277480;613554;
613165 251450;
613168 262850;
613169 236000;
613171 613172;
613176 616920;
613183 614299;
613190 613193;
613208 278720;
613213 250800;
613214 613211;
613218 250790;
613228 208400;
613230 170100;
613236 613239;
613257 616817;
613274 603592;
613276 604173;
613277 603194;608091;
613278 613951;
613279 617125;
613283 613285;
613289 608768;
613293 249420;
613301 616030;
613311 615595;
613326 222748;
613349 258870;
613350 211500;211530;
613354 613307;
613360 616502;
613363 615633;
613381 236200;
613386 601952;
613401 613404;
613403 171300;
613405 613418;
613420 181270;
613425 613428;
613441 275350;
613446 616300;
613468 159950;228000;
613469 236730;
613497 278000;
613516 615705;
613521 176100;
613522 190900;
613524 613615;615993;
613529 613823;614852;
613534 614817;
613541 613559;615035;
613553 613159;
613577 220500;605021;614617;615338;616044;
613580 217085;615992;
613583 604317;
613596 606068;
613597 613616;
613598 613617;
613599 612674;
613602 613610;614091;
613605 615995;
613609 104300;176100;176200;235200;612635;614193;
613619 600920;
613621 252010;
613622 252010;256000;
613629 108145;114300;248700;
613653 613647;
613655 613656;
613665 110700;611162;611862;
613666 613661;
613667 613671;
613669 613672;
613698 212138;
613715 613717;
613719 613718;
613726 613728;
613727 609273;
613733 131100;
613734 616828;
613741 232700;
613742 232200;
613768 607151;
613785 216950;
613798 613807;
613799 613808;
613814 615157;
613815 201910;
613846 613885;616654;
613847 258860;614815;
613858 613517;
613868 111000;
613871 276700;
613872 227600;
613878 227500;608446;
613879 275120;
613883 110900;
613890 201810;
613891 258900;
613893 613958;
613896 222800;
613897 603467;
613898 246450;
613899 227645;
613900 613908;
613915 616248;
613920 616500;
613924 613943;
613927 217000;615489;
613932 616117;
613940 616577;
613976 600901;
613979 613983;
613984 227646;
614010 614078;
614041 109800;180200;182280;259500;
614058 229800;
614064 614069;
614068 614099;
614088 111250;
614095 261650;
614123 213980;
614138 615356;
614140 145410;600251;
614141 615490;
614144 614209;617120;
614145 614205;
614154 614153;
614159 614167;
614161 614170;
614168 261680;
614169 139090;
614184 267000;
614191 604364;
614194 614219;
614215 614266;616867;
614218 610185;
614232 218030;
614243 260005;
614245 614265;
614258 607694;
614260 105550;
614283 614400;
614295 601331;
614297 614298;615043;
614312 615842;
614336 613320;
614351 616892;
614352 616893;
614366 614381;
614386 128200;602066;605751;
614397 616486;
614404 148500;
614423 614424;
614426 615541;
614427 607842;
614459 614465;
614461 615824;
614477 614500;
614478 220110;
614505 614557;
614506 614498;
614512 617072;
614515 614565;
614518 614672;
614530 256000;
614537 615179;
614556 135900;
614566 606763;
614567 609129;
614571 277170;614615;
614574 226750;
614589 222470;
614591 614614;
614603 609340;
614610 616099;
614620 266920;
614631 614643;616052;
614632 614640;
614647 614650;
614649 608984;
614666 614807;
614667 614702;
614677 614679;
614683 615011;
614698 220110;
614724 614728;
614725 614739;
614726 614727;
614730 614749;
614738 614741;
614757 610967;
614759 614779;
614770 220110;
614772 616501;
614780 615085;
614783 614813;
614784 615973;
614785 617086;
614787 616364;
614789 615297;
614828 614830;
614829 614832;
614848 614845;
614864 614874;
614884 616948;
614888 148600;
614901 614923;
614908 616881;
614917 614922;
614925 614944;
614930 614935;
614949 614970;615397;
614958 616913;
614982 158901;
614984 204750;615025;
614998 615074;
615000 615031;
615003 615033;
615004 615058;
615016 615082;
615038 615067;
615049 616708;
615054 603383;
615068 242840;
615076 615084;
615101 615763;
615115 615485;
615140 218340;
615187 614207;
615242 615264;
615247 615249;616094;
615262 615942;
615276 615023;
615288 615294;
615291 271640;615349;
615292 127000;602361;
615302 615286;
615316 615330;616451;
615317 616370;
615320 615350;615351;615352;
615340 615348;
615370 615382;
615403 613680;
615404 615432;
615407 615434;
615408 615451;
615410 615457;
615416 607539;609432;
615421 615420;
615423 616974;
615427 615429;
615462 615503;
615463 615476;
615464 174300;
615487 615487;
615494 615500;
615495 615510;
615496 615523;
615521 255995;
615532 615544;
615533 252010;
615535 615540;
615538 615538;
615549 615954;
615564 615578;
615567 615573;
615584 615704;
615585 609218;
615586 615703;
615618 615696;
615620 615637;
615626 615631;
615667 615715;
615684 615724;
615712 617099;
615720 615725;
615730 615859;
615743 615761;
615748 615817;
615757 615780;
615762 615837;
615781 616106;
615787 616034;
615790 615829;
615792 616903;
615820 610100;
615831 615838;
615847 615862;
615850 615851;
615870 615996;
615876 616481;
615900 617023;
615903 615048;615911;616209;
615944 615948;
615949 615972;
615950 615959;
615951 603671;
615956 616037;
616003 220110;
616012 616022;
616013 616033;
616027 616032;
616062 616681;
616086 616200;
616097 616111;
616101 607454;
616105 616354;
616107 616154;
616112 616165;
616120 616127;
616144 251300;
616146 616145;
616174 272440;
616186 130650;
616244 616710;
616254 616271;
616283 617051;
616305 616819;
616312 212500;
616327 616579;
616386 616398;
616404 616462;
616406 616420;
616441 122000;
616454 616468;616469;
616458 616488;
616585 616723;
616639 616640;
616646 616760;
616650 616784;
616655 616851;
616661 616688;
616663 614561;
616690 616781;
616735 616816;
616768 616780;
616815 616829;
616830 616878;
616842 136550;
616846 616875;
616899 616900;
616902 616902;
616918 616917;
616982 617039;
617048 617052;
617064 617065;
617083 617088;
617094 617102;
617095 617092;
617112 617127;
